EntityName,AttributeName,DataType
customers,id_customer,int
customers,firstname,string
customers,lastname,string
customers,address1,string
customers,address2,string
customers,city,string
customers,state,string
customers,zip,string
customers,country,string
customers,region,int
customers,email,string
customers,creditcardtype,string
customers,creditcard,string
customers,creditcardexpiration,string
customers,username,string
customers,password,string
customers,income,int
customers,gender,string
orders,id_order,int
orders,orderdate,date
orders,customerid,int
orders,netamount,double
orders,tax,double
orders,totalamount,double
orderlines,orderlineid,int
orderlines,orderid,int
orderlines,prod_id,int
orderlines,quantity,int
orderlines,orderlinedate,int
reorder,prod_id,int
reorder,date_low,date
reorder,quan_low,int
reorder,date_reordered,date
reorder,quan_reordered,int
reorder,date_expected,date
products,id_prod,int
products,category,int
products,title,string
products,actor,string
products,price,double
products,special,int
products,common_prod_id,int
categories,id_category,int
categories,categoryname,string
inventory,prod_id,int
inventory,quan_in_stock,int
inventory,sales,int